State_UT,year,Primary_Only,Primary_with_U_Primary,Primary_with_U_Primary_Sec_HrSec,U_Primary_Only,U_Primary_With_Sec_HrSec,Primary_with_U_Primary_Sec,U_Primary_With_Sec,Sec_Only,Sec_with_HrSec.,HrSec_Only,All Schools
Andaman & Nicobar Islands,2013-14,30.4,73.68,89.74,0.0,100.0,97.92,0.0,0.0,100.0,0.0,53.06
Andhra Pradesh,2013-14,12.73,42.72,86.99,45.45,17.07,68.18,73.23,60.0,33.33,19.32,29.57
Arunachal Pradesh,2013-14,4.32,45.05,90.63,46.51,98.0,89.11,75.0,0.0,52.17,100.0,24.28
Assam,2013-14,1.08,29.12,64.75,18.29,80.48,44.8,56.01,25.89,36.81,16.93,8.85
Bihar,2013-14,1.42,7.61,35.15,10.79,51.25,14.94,12.25,17.77,30.8,22.5,5.47
Chandigarh,2013-14,54.55,92.31,100.0,0.0,100.0,98.57,0.0,0.0,0.0,0.0,95.83
Chhattisgarh,2013-14,2.64,36.63,72.35,13.04,39.24,59.14,16.55,17.77,28.2,0.0,9.8
Dadra & Nagar Haveli,2013-14,8.84,66.94,100.0,100.0,100.0,100.0,0.0,54.55,91.67,0.0,38.19
Daman & Diu,2013-14,14.55,88.89,100.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0,61.11
Delhi,2013-14,80.55,91.82,86.61,55.26,65.09,93.82,58.46,0.0,0.0,0.0,81.56
Goa,2013-14,12.02,89.66,100.0,83.33,100.0,99.35,100.0,0.0,0.0,81.58,40.63
Gujarat,2013-14,24.74,90.44,96.98,75.23,92.27,93.98,84.82,65.19,74.75,56.36,72.08
Haryana,2013-14,7.43,74.87,94.8,27.69,97.39,86.07,94.06,0.0,28.21,0.0,44.12
Himachal Pradesh,2013-14,3.75,82.75,94.83,14.38,81.13,92.28,50.0,100.0,60.0,33.33,22.49
Jammu And Kashmir,2013-14,3.6,18.94,87.03,8.82,71.43,54.55,32.58,35.29,72.49,66.67,16.73
Jharkhand,2013-14,3.1,10.89,77.61,24.39,65.48,30.52,45.03,19.67,23.81,24.58,8.94
Karnataka,2013-14,9.94,40.01,94.92,56.96,89.55,89.17,70.74,67.04,77.72,13.97,35.01
Kerala,2013-14,87.96,96.61,97.23,98.66,99.64,95.54,99.67,0.0,0.0,75.68,92.63
Lakshadweep,2013-14,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,100.0
Madhya Pradesh,2013-14,3.33,46.61,80.74,13.04,69.0,72.89,54.24,5.88,18.78,66.67,13.03
Maharashtra,2013-14,28.6,69.2,96.11,38.75,96.48,94.48,91.96,82.24,87.32,49.47,52.79
Manipur,2013-14,2.13,36.23,96.55,15.87,95.45,82.31,74.83,15.91,80.0,73.58,25.57
Meghalaya,2013-14,2.97,28.57,96.15,15.63,91.25,67.44,53.59,16.78,36.49,20.0,8.98
Mizoram,2013-14,9.21,53.92,0.0,56.86,0.0,0.0,0.0,9.97,0.0,9.73,27.76
Nagaland,2013-14,4.98,55.35,97.75,59.09,77.78,92.93,86.43,30.88,66.67,25.0,34.96
Odisha,2013-14,3.91,17.07,80.99,8.24,80.43,36.98,21.12,18.32,0.0,0.0,10.58
Puducherry,2013-14,98.56,94.74,100.0,0.0,98.11,95.6,100.0,0.0,100.0,100.0,97.62
Punjab,2013-14,10.64,83.96,97.2,93.48,100.0,95.34,99.84,100.0,64.71,53.42,51.97
Rajasthan,2013-14,4.51,28.78,70.33,72.31,67.62,53.79,30.67,68.0,58.6,66.67,23.47
Sikkim,2013-14,29.92,79.4,98.65,50.0,71.43,93.6,0.0,0.0,0.0,0.0,53.33
Tamil Nadu,2013-14,35.51,82.59,98.96,78.13,79.24,0.0,0.0,50.0,79.17,81.82,54.14
Telangana,2014-15,18.17,46.08,88.64,75.0,74.37,72.62,75.16,76.47,20.0,48.03,37.9
Tripura,2013-14,3.59,4.33,59.63,50.0,71.64,27.3,50.0,0.0,0.0,0.0,11.4
Uttar Pradesh,2013-14,5.53,25.63,49.98,14.75,53.22,32.81,22.71,9.37,15.36,37.5,11.12
Uttarakhand,2013-14,12.78,77.16,94.2,57.03,93.63,90.07,66.4,27.34,39.24,50.0,31.97
West Bengal,2013-14,3.94,34.84,67.19,7.93,74.34,54.02,42.04,0.0,0.0,54.55,10.77
All India,2013-14,9.25,42.14,82.67,18.22,76.5,64.69,59.25,44.8,39.31,26.65,24.08
